1;;;;;"AB 002";;;;;"ABRAZADERA S/FIN 1/2";;;;;"1.90";;;;;"0";;;;;"0";;;;;"0";;;;;88;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
2;;;;;"AB 003";;;;;"ABRAZADERA S/FIN No. 24";;;;;"3.65";;;;;"0";;;;;"0";;;;;"0";;;;;88;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
3;;;;;"AB 004";;;;;"ABRAZADERA S/FIN No. 44";;;;;"24.74";;;;;"0";;;;;"150";;;;;"250";;;;;88;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
4;;;;;"AB 72";;;;;"ABRAZADERA NO. 72";;;;;"5.00";;;;;"0";;;;;"0";;;;;"0";;;;;88;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
5;;;;;"AC 100A15.";;;;;"FUSIBLE RESP 100 A15.5 KV";;;;;"1180.98";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
6;;;;;"AC 40X100";;;;;"ACRILICO 40 X 100";;;;;"95.65";;;;;"0";;;;;"0";;;;;"0";;;;;88;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
7;;;;;"AC 40X120";;;;;"ACRILICO 40 X 120";;;;;"95.65";;;;;"0";;;;;"0";;;;;"0";;;;;88;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
8;;;;;"AC 40X80";;;;;"ACRILICO 40 X 80";;;;;"75.00";;;;;"0";;;;;"0";;;;;"0";;;;;88;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
9;;;;;"AC 40X85";;;;;"ACRILICO 40 X 85";;;;;"75.00";;;;;"0";;;;;"0";;;;;"0";;;;;88;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
10;;;;;"AC 40X90";;;;;"ACRILICO 40 X 90";;;;;"81.99";;;;;"0";;;;;"0";;;;;"0";;;;;88;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
11;;;;;"AC APA10";;;;;"APARTARRALLOS DE 10 KV/10 KA";;;;;"398.00";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
12;;;;;"AC BA5/8";;;;;"BARRA ALUMINIO 4 SALIDAS 5/8\"";;;;;"137.11";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
13;;;;;"AC BO/PE";;;;;"BOQ. T/PERNO COLA CORTA 600 AMP";;;;;"774.77";;;;;"0";;;;;"18";;;;;"30";;;;;12;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
14;;;;;"AC BO/PO";;;;;"BOQ. T/POZO COLA CORTA";;;;;"0.00";;;;;"0";;;;;"30";;;;;"450";;;;;12;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
15;;;;;"AC BTP600";;;;;"BOQ TP CL 600 A ELASTIMOL 25 KVA";;;;;"2103.15";;;;;"0";;;;;"0";;;;;"0";;;;;12;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
16;;;;;"AC BTPCL";;;;;"BOQ. T/POZO COLA LARGA";;;;;"908.44";;;;;"0";;;;;"6";;;;;"12";;;;;12;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
17;;;;;"AC BTRI";;;;;"BOQ. B.T. TRIANGULAR T/PERNO 5/8";;;;;"0.00";;;;;"0";;;;;"3";;;;;"6";;;;;12;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
18;;;;;"AC C12GL";;;;;"CANDADO 12 GL";;;;;"32.17";;;;;"0";;;;;"0";;;;;"0";;;;;88;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
19;;;;;"AC C16GL";;;;;"CANDADO DE LATON MOD.16 GL";;;;;"47.24";;;;;"0";;;;;"60";;;;;"150";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
20;;;;;"AC CERRATG";;;;;"CERRADURA TIPO G  A. INOX.";;;;;"270.00";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
21;;;;;"AC COAI114";;;;;"COPLE ACERO INOX. 1 1/4  31.8MM";;;;;"43.41";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
22;;;;;"AC COVA501";;;;;"COPLE P/VALVULA 501";;;;;"15.20";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
23;;;;;"AC EC7561";;;;;"ITM 150KVA TRIFASICO";;;;;"2332.98";;;;;"0";;;;;"1";;;;;"2";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
24;;;;;"AC ENS B";;;;;"ENSAMBLAJE BAYONET 4000361C99MC";;;;;"0.00";;;;;"0";;;;;"75";;;;;"150";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
25;;;;;"AC ENS BS";;;;;"ENSAMBLAJE BAYO/SUMERG 400117B53MC";;;;;"1382.50";;;;;"0";;;;;"6";;;;;"9";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
26;;;;;"AC ENS MO";;;;;"ENSAMBLAJE BAYO/SUMERG MONOFASICO";;;;;"1193.49";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
27;;;;;"AC FE 100A";;;;;"FUSIBLE EXP 100 AMP CURRENT 353C16";;;;;"96.42";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
28;;;;;"AC FE 10A";;;;;"FUSIBLE EXP 10 AMP CURRENT 353C06";;;;;"0.00";;;;;"0";;;;;"150";;;;;"240";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
29;;;;;"AC FE 140A";;;;;"FUSIBLE EXP 140 AMP CURRENT 353C17";;;;;"93.95";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
30;;;;;"AC FE 15A";;;;;"FUSIBLE EXP 15 AMP DUAL 358C08";;;;;"0.00";;;;;"0";;;;;"60";;;;;"120";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
31;;;;;"AC FE 15AC";;;;;"FUSIBLE EXP 15 AMP CURRENT 353C08";;;;;"96.42";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
32;;;;;"AC FE 25A";;;;;"FUSIBLE EXP 25 AMP DUAL 358C10";;;;;"94.86";;;;;"0";;;;;"60";;;;;"90";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
33;;;;;"AC FE 25AC";;;;;"FUSIBLE EXP 25 AMP CURRENT 353C10";;;;;"0.00";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
34;;;;;"AC FE 3A";;;;;"FUSIBLE EXP 3 AMP DUAL 358C03";;;;;"103.81";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
35;;;;;"AC FE 40A";;;;;"FUSIBLE EXP 40 AMP CURRENT 353C12";;;;;"95.05";;;;;"0";;;;;"40";;;;;"60";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
36;;;;;"AC FE 50A";;;;;"FUSIBLE EXP 50 AMP DUAL 358C12";;;;;"68.53";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
37;;;;;"AC FE 65A";;;;;"FUSIBLE EXP 65 AMP CURRENT 353C14";;;;;"95.04";;;;;"0";;;;;"9";;;;;"18";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
38;;;;;"AC FE 6A";;;;;"FUSIBLE EXP 6 AMP CURRENT 353C04";;;;;"0.00";;;;;"0";;;;;"6";;;;;"9";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
39;;;;;"AC FE 8A";;;;;"FUSIBLE EXP 8 AMP DUAL 358C05";;;;;"103.81";;;;;"0";;;;;"6";;;;;"12";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
40;;;;;"AC FEB110";;;;;"FUSIBLE EXP. P/BOQ. AT.15KVA 10 AMP";;;;;"100.24";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
41;;;;;"AC FEB5";;;;;"FUSIBLE EXP. P/BOQ. AT.15KVA 5 AMP";;;;;"142.31";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;2;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
42;;;;;"AC FEB7";;;;;"FUSIBLE EXP. P/BOQ. AT.15KVA 7 AMP";;;;;"142.31";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;2;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
43;;;;;"AC FNX15";;;;;"FUNDA NX 15 KV RANGO COMPLETO";;;;;"2853.87";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
44;;;;;"AC FPLG01";;;;;"FUSIBLE PROTECTIVE LINK 779C667G01";;;;;"244.20";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
45;;;;;"AC FPLG02";;;;;"FUSIBLE PROTECTIVE LINK 592B581G02";;;;;"104.69";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
46;;;;;"AC FPLG03";;;;;"FUSIBLE PROTECTIVE LINK 592B581G03";;;;;"107.58";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
47;;;;;"AC FPLG06";;;;;"FUSIBLE PROTECTIVE LINK 592B581G06";;;;;"104.69";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
48;;;;;"AC FPLG08";;;;;"FUSIBLE PROTECTIVE LINK 779C667G08";;;;;"244.20";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
49;;;;;"AC FPLG13";;;;;"FUSIBLE PROTECTIVE LINK 592B581G13";;;;;"104.69";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
50;;;;;"AC FPLG21";;;;;"FUSIBLE PROTECTIVE LINK 345B995G21";;;;;"355.20";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
51;;;;;"AC FPLG29";;;;;"FUSIBLE PROTECTIVE LINK 345B995G29";;;;;"355.20";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
52;;;;;"AC FR 125A";;;;;"FUSIBLE RESP 125 A 8.3 KV";;;;;"1192.80";;;;;"0";;;;;"3";;;;;"6";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
53;;;;;"AC FR 15.5";;;;;"FUSIBLE RESP 175 A 15.5 KV";;;;;"2198.73";;;;;"0";;;;;"3";;;;;"3";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
54;;;;;"AC FR 150A";;;;;"FUSIBLE RESP 150 A 8.3 KV";;;;;"1531.44";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
55;;;;;"AC FR 175A";;;;;"FUSIBLE RESP 175 A 8.3 KV";;;;;"1643.03";;;;;"0";;;;;"6";;;;;"9";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
56;;;;;"AC FR 23KV";;;;;"FUSIBLE RESP 125 A 23 KV";;;;;"1660.23";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
57;;;;;"AC FR 30A";;;;;"FUSIBLE RESP 30 A 8.3 KV";;;;;"0.00";;;;;"0";;;;;"30";;;;;"63";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
58;;;;;"AC FR 40A";;;;;"FUSIBLE RESP 40 A 8.3 KV";;;;;"685.66";;;;;"0";;;;;"150";;;;;"240";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
59;;;;;"AC FR 50A";;;;;"FUSIBLE RESP 50 A 8.3 KV";;;;;"617.81";;;;;"0";;;;;"60";;;;;"90";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
60;;;;;"AC FR 80A";;;;;"FUSIBLE RESP 80 A 8.3 KV";;;;;"777.22";;;;;"0";;;;;"30";;;;;"60";;;;;2;;;;;2;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
61;;;;;"AC FR100A";;;;;"FUSIBLE RESP 100 A 8.3 KV";;;;;"0.00";;;;;"0";;;;;"2";;;;;"4";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
62;;;;;"AC FR15.5";;;;;"FUSIBLE RESP 125 A 15.5 KV";;;;;"1468.94";;;;;"0";;;;;"6";;;;;"9";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
63;;;;;"AC FR150A";;;;;"FUSIBLE RESP 150 A 15.5 KV";;;;;"2015.50";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
64;;;;;"AC FR23KV";;;;;"FUSIBLE RESP 100 A 23 KV";;;;;"1351.19";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
65;;;;;"AC FR250A";;;;;"FUSIBLE RESP 50 A 15.5 KV";;;;;"0.00";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;1;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
66;;;;;"AC FR303";;;;;"FUSIBLE RESP 30 A 23 KV";;;;;"734.78";;;;;"0";;;;;"9";;;;;"18";;;;;2;;;;;2;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
67;;;;;"AC FR30A";;;;;"FUSIBLE RESP 30 A 15.5 KV";;;;;"562.51";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;2;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
68;;;;;"AC FR40-23";;;;;"FUSIBLE RESP 40 A 23 KV";;;;;"954.39";;;;;"0";;;;;"0";;;;;"0";;;;;2;;;;;2;;;;;15;;;;;NULL;;;;;"1";;;;;NULL;;;;;NULL;;;;;1;;;;;15;;;;;NULL;;;;;NULL
